,index,subj_score,simi_score,vader_score,scores_flair,tw_subj_score,tw_simi_score,tw_vader_score,tw_scores_flair
43,2021-11-02,0.10098228087324253,-0.06878404243296259,0.2647049999999998,0.7365473061800003,0.10939013888888889,0.0857868650793651,0.3228,0.8275188108285269
45,2021-11-04,0.11291867699943572,-0.11569502980024486,0.22430999999999973,0.7148655846714973,0.06932266666666667,-0.0848488888888889,0.12736666666666668,0.6723694503307343
46,2021-11-05,0.06335917782136843,-0.10917781586834219,0.11999000000000011,0.6855818554759026,0.06893305555555555,-0.08603461538461538,0.08395000000000001,0.6801941990852356
47,2021-11-08,0.07345112529495777,-0.09204099085551719,0.1506150000000001,0.6993395075201988,0.051414999999999995,-0.10010118203309692,0.11906666666666667,0.6969080070654551
48,2021-11-09,0.14586280029812787,-0.08817734298009874,0.32816499999999976,0.7423196136951447,0.10557833333333333,0.039131107357165566,0.17428333333333332,0.7355720102787018
49,2021-11-10,0.04359292170380546,-0.07524010695598646,0.06806999999999992,0.6703123077750206,0.07864444444444445,-0.08325546153846154,0.11665000000000002,0.7280589540799459
50,2021-11-11,0.1336775495346545,-0.07865366667247038,0.31852499999999984,0.7430754825472832,0.17425934027777779,-0.0478077519379845,0.25919999999999993,0.6890885730584463
52,2021-11-15,0.11605825065052693,-0.10934764436798161,0.22419999999999973,0.7238095074892044,0.05659111111111111,-0.09155444444444444,0.10058333333333336,0.7563623686631521
53,2021-11-16,0.11213747242518805,-0.1029916386011334,0.2438749999999998,0.7406954228878021,0.05972,-0.07218202614379085,0.12146666666666668,0.6911942462126414
54,2021-11-17,0.11791834578916519,-0.11489628827531662,0.22465499999999977,0.6824638426303864,0.09349999999999999,-0.04402559339525286,0.26319999999999993,0.7471318145593008
55,2021-11-18,0.11271280405895008,-0.08068761686366052,0.2694299999999997,0.7401185855269432,0.13276666666666667,0.018372286732874974,0.28669999999999995,0.6901206771532694
56,2021-11-19,0.09656059745428158,-0.11430689953248505,0.20411999999999977,0.7110346272587776,0.13050166666666665,-0.06819773504273503,0.21343333333333328,0.7619267304738363
57,2021-11-22,0.060581428551022484,-0.07788227219422673,0.1603750000000001,0.7078901171684265,-0.048548455988455995,-0.21721777777777773,-0.1772166666666667,0.8158808747927347
58,2021-11-23,0.13187105812284095,-0.027934950799604126,0.2903549999999998,0.7904799997806549,0.013984027777777778,-0.02437213071895425,0.08700000000000002,0.6927149097124735
59,2021-11-24,0.13378764334133295,-0.10797624246721242,0.22742499999999982,0.7280559271574021,0.005709166666666667,-0.07907598566308242,-0.020466666666666664,0.6951893866062164
61,2021-11-26,0.06249378922969269,-0.11161189015590718,0.1215350000000001,0.6828714549541474,0.028560000000000002,-0.06860952026468155,0.08390000000000002,0.6982830862204233
